0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0.001031,0.000301
22,0.001031,0.000301
23,0.001008,0.000301
24,0.000969,0.000301
25,0.000905,0.000301
26,0.000825,0.000301
27,0.000745,0.000301
28,0.000686,0.000301
29,0.000642,0.000301
30,0.000613,0.000301
31,0.000598,0.000301
32,0.000584,0.000301
33,0.00057,0.000301
34,0.000613,0.000332
35,0.000666,0.000371
36,0.000725,0.000413
37,0.000791,0.000461
38,0.000864,0.000514
39,0.000947,0.000573
40,0.001041,0.000639
41,0.001149,0.000712
42,0.001274,0.000794
43,0.001419,0.000885
44,0.001589,0.000987
45,0.001788,0.0011
46,0.002022,0.001227
47,0.002298,0.001367
48,0.002623,0.001524
49,0.003006,0.001699
50,0.003456,0.001895
51,0.003984,0.002112
52,0.004601,0.002354
53,0.005318,0.002624
54,0.006147,0.002925
55,0.007099,0.003261
56,0.008184,0.003634
57,0.009412,0.004051
58,0.010789,0.004515
59,0.012321,0.005031
60,0.013517,0.005607
61,0.014765,0.006247
62,0.016127,0.006961
63,0.017612,0.007755
64,0.019232,0.00864
65,0.020997,0.009624
66,0.02292,0.010719
67,0.025015,0.011937
68,0.027296,0.013291
69,0.029778,0.014797
70,0.032479,0.016471
71,0.035416,0.018331
72,0.038608,0.020396
73,0.042075,0.022689
74,0.045838,0.025233
75,0.04992,0.028053
76,0.054346,0.031179
77,0.059139,0.034641
78,0.064326,0.038472
79,0.069935,0.042708
80,0.075992,0.047387
81,0.082528,0.052551
82,0.089572,0.058243
83,0.097153,0.06451
84,0.105301,0.0714
85,0.114047,0.078963
86,0.123418,0.087253
87,0.133444,0.096321
88,0.14415,0.106223
89,0.155561,0.117011
90,0.167699,0.128736
91,0.18058,0.141448
92,0.194221,0.155192
93,0.208629,0.170007
94,0.223809,0.185924
95,0.23976,0.202968
96,0.256471,0.22115
97,0.273928,0.240469
98,0.292106,0.26091
99,0.310973,0.282443
100,0.330491,0.305019
101,0.350609,0.328574
102,0.371274,0.353024
103,0.39242,0.378268
104,0.413978,0.404189
105,0.435871,0.430657
106,0.458016,0.457526
107,0.480329,0.484645
108,0.50272,0.511866
109,0.5251,0.538995
110,0.54738,0.565905
111,0.589472,0.592433
112,1,1
